chemical,sample_date,value
AGOC-3A,2014-03-17,0.29
AGOC-3A,2014-03-21,0.27
AGOC-3A,2014-03-23,0.28
AGOC-3A,2014-03-29,0.32
AGOC-3A,2014-04-11,0.32
AGOC-3A,2014-04-14,0.3
AGOC-3A,2014-04-28,0.3
AGOC-3A,2014-05-03,0.33
AGOC-3A,2014-05-09,0.28
AGOC-3A,2014-05-16,0.28
AGOC-3A,2014-05-26,0.29
AGOC-3A,2014-05-30,0.29
AGOC-3A,2014-05-31,2.32
AGOC-3A,2014-06-12,0.33
AGOC-3A,2014-06-13,0.36
AGOC-3A,2014-06-15,0.27
AGOC-3A,2014-06-20,0.29
AGOC-3A,2014-06-26,0.28
AGOC-3A,2014-07-07,0.3
AGOC-3A,2014-07-11,0.29
AGOC-3A,2014-07-12,0.31
AGOC-3A,2014-07-25,0.27
AGOC-3A,2014-07-27,0.26
AGOC-3A,2014-08-08,0.42
AGOC-3A,2014-08-11,0.32
AGOC-3A,2014-08-22,0.31
AGOC-3A,2014-08-23,0.38
AGOC-3A,2014-08-31,0.96
AGOC-3A,2014-09-06,0.3
AGOC-3A,2014-09-07,0.69
AGOC-3A,2014-09-11,0.54
AGOC-3A,2014-09-21,0.27
AGOC-3A,2014-09-26,0.32
AGOC-3A,2014-09-28,0.34
AGOC-3A,2014-10-12,1.47
AGOC-3A,2014-10-17,0.29
AGOC-3A,2014-10-19,0.29
AGOC-3A,2014-10-24,0.27
AGOC-3A,2014-10-26,0.35
AGOC-3A,2014-11-07,0.88
AGOC-3A,2014-11-15,1.19
AGOC-3A,2014-11-17,0.28
AGOC-3A,2014-11-27,0.35
AGOC-3A,2014-11-28,0.57
AGOC-3A,2014-12-12,0.32
AGOC-3A,2014-12-15,0.33
AGOC-3A,2014-12-19,0.34
AGOC-3A,2015-01-09,0.31
AGOC-3A,2015-01-11,3.81
AGOC-3A,2015-01-24,0.28
AGOC-3A,2015-01-29,113.59
AGOC-3A,2015-02-08,0.31
AGOC-3A,2015-02-13,0.29
AGOC-3A,2015-02-14,0.55
AGOC-3A,2015-02-26,2.4
AGOC-3A,2015-02-27,30.15
AGOC-3A,2015-03-13,0.3
AGOC-3A,2015-03-19,0.32
AGOC-3A,2015-03-20,0.32
AGOC-3A,2015-03-27,0.29
AGOC-3A,2015-03-29,0.27
AGOC-3A,2015-04-17,0.31
AGOC-3A,2015-04-18,0.3
AGOC-3A,2015-04-23,0.32
AGOC-3A,2015-04-24,0.34
AGOC-3A,2015-04-25,0.29
AGOC-3A,2015-05-08,0.58
AGOC-3A,2015-05-21,0.36
AGOC-3A,2015-05-25,0.32
AGOC-3A,2015-05-28,0.3
AGOC-3A,2015-06-12,0.29
AGOC-3A,2015-06-14,0.28
AGOC-3A,2015-06-25,0.3
AGOC-3A,2015-06-28,0.27
AGOC-3A,2015-07-09,0.62
AGOC-3A,2015-07-11,0.29
AGOC-3A,2015-07-23,0.28
AGOC-3A,2015-07-30,0.32
AGOC-3A,2015-08-08,0.29
AGOC-3A,2015-08-20,0.26
AGOC-3A,2015-08-21,3.75
AGOC-3A,2015-08-23,3.43
AGOC-3A,2015-08-28,0.4
AGOC-3A,2015-09-07,2.19
AGOC-3A,2015-09-09,0.3
AGOC-3A,2015-09-21,0.35
AGOC-3A,2015-09-24,0.82
AGOC-3A,2015-10-19,5.76
AGOC-3A,2015-10-22,0.3
AGOC-3A,2015-10-29,0.25
AGOC-3A,2015-10-30,0.28
AGOC-3A,2015-11-07,0.6
AGOC-3A,2015-11-26,1.15
AGOC-3A,2015-12-13,0.31
AGOC-3A,2016-01-10,0.03
AGOC-3A,2016-01-17,0.02
AGOC-3A,2016-01-24,0.15
AGOC-3A,2016-01-28,0.22
AGOC-3A,2016-02-07,0.04
AGOC-3A,2016-02-14,0.05
AGOC-3A,2016-02-18,0.04
AGOC-3A,2016-02-20,0.03
AGOC-3A,2016-03-12,0.03
AGOC-3A,2016-03-18,0.04
AGOC-3A,2016-03-20,0.07
AGOC-3A,2016-03-24,0.01
AGOC-3A,2016-03-25,0.02
AGOC-3A,2016-04-08,0.05
AGOC-3A,2016-04-16,0.59
AGOC-3A,2016-04-18,1.75
AGOC-3A,2016-04-21,0.01
AGOC-3A,2016-04-22,0.05
AGOC-3A,2016-05-09,0.54
AGOC-3A,2016-05-14,0.03
AGOC-3A,2016-05-22,0.04
AGOC-3A,2016-06-13,5.6
AGOC-3A,2016-06-17,0.18
AGOC-3A,2016-06-19,0.04
AGOC-3A,2016-06-23,0.18
AGOC-3A,2016-07-15,0.04
AGOC-3A,2016-07-18,1.99
AGOC-3A,2016-07-22,0.03
AGOC-3A,2016-07-24,0.03
AGOC-3A,2016-07-28,0.0
AGOC-3A,2016-08-11,0.11
AGOC-3A,2016-08-14,0.04
AGOC-3A,2016-08-18,0.03
AGOC-3A,2016-08-26,0.04
AGOC-3A,2016-08-28,0.14
AGOC-3A,2016-09-02,0.05
AGOC-3A,2016-09-04,0.23
AGOC-3A,2016-09-25,0.11
AGOC-3A,2016-09-29,0.0
AGOC-3A,2016-09-30,0.04
AGOC-3A,2016-10-13,0.77
AGOC-3A,2016-10-15,0.07
AGOC-3A,2016-10-20,0.07
AGOC-3A,2016-10-21,0.06
AGOC-3A,2016-10-29,0.01
AGOC-3A,2016-11-09,0.03
AGOC-3A,2016-11-10,0.02
AGOC-3A,2016-11-13,0.07
AGOC-3A,2016-11-18,0.03
AGOC-3A,2016-11-24,0.1
AGOC-3A,2016-11-27,0.03
AGOC-3A,2016-12-09,0.06
AGOC-3A,2016-12-15,0.04
AOX,1998-01-11,0.0
AOX,1998-01-26,0.0
AOX,1998-01-31,0.0
AOX,1998-02-15,0.0
AOX,1998-02-20,0.0
AOX,1998-02-24,0.0
AOX,1998-03-12,0.0
AOX,1998-03-19,0.0
AOX,1998-03-21,0.0
AOX,1998-04-11,0.0
AOX,1998-04-16,0.0
AOX,1998-04-17,0.0
AOX,1998-04-18,0.0
AOX,1998-05-09,0.0
AOX,1998-05-20,0.0
AOX,1998-05-26,0.0
AOX,1998-06-06,0.0
AOX,1998-06-27,0.0
AOX,1998-06-28,0.0
AOX,1998-06-29,0.0
AOX,1998-06-30,0.0
AOX,1998-07-11,0.0
AOX,1998-07-23,0.0
AOX,1998-07-26,0.0
AOX,1998-08-08,0.0
AOX,1998-08-22,0.0
AOX,1998-08-23,0.0
AOX,1998-08-24,0.0
AOX,1998-08-25,0.0
AOX,1998-08-26,0.0
AOX,1998-09-05,0.0
AOX,1998-09-20,0.0
AOX,1998-09-27,0.0
AOX,1998-10-01,0.0
AOX,1998-10-03,0.0
AOX,1998-10-23,0.0
AOX,1998-10-24,0.0
AOX,1998-10-29,0.0
AOX,1998-10-30,0.0
AOX,1998-11-07,0.0
AOX,1998-11-14,0.0
AOX,1998-11-20,0.0
AOX,1998-11-26,0.0
AOX,1998-11-28,0.0
AOX,1998-12-05,0.0
AOX,1998-12-10,0.0
AOX,1998-12-13,0.0
AOX,1998-12-17,0.0
AOX,1998-12-18,0.0
AOX,1998-12-19,0.0
AOX,2008-01-10,16.13
AOX,2008-01-12,19.43
AOX,2008-01-18,13.33
AOX,2008-02-03,32.15
AOX,2008-02-15,19.87
AOX,2008-02-23,16.03
AOX,2008-03-02,20.3
AOX,2008-03-14,20.87
AOX,2008-03-17,12.23
AOX,2008-03-30,35.65
AOX,2008-05-09,18.08
AOX,2008-05-30,28.0
AOX,2008-10-12,21.02
AOX,2008-10-17,12.07
AOX,2008-10-19,25.95
AOX,2008-11-07,21.52
AOX,2008-11-15,13.4
AOX,2008-11-17,26.7
AOX,2008-12-05,26.3
AOX,2008-12-12,16.23
AOX,2008-12-15,26.25
AOX,2009-01-09,0.0
AOX,2009-01-11,0.0
AOX,2009-01-24,0.0
AOX,2009-01-29,0.0
AOX,2009-02-08,0.0
AOX,2009-02-13,0.0
AOX,2009-02-14,0.0
AOX,2009-02-26,0.0
AOX,2009-02-27,0.0
AOX,2009-03-13,0.0
AOX,2009-03-19,0.0
AOX,2009-03-20,0.0
AOX,2009-03-27,0.0
AOX,2009-03-29,0.0
AOX,2009-04-17,0.0
AOX,2009-04-18,0.0
AOX,2009-04-23,0.0
AOX,2009-04-24,0.0
AOX,2009-04-25,0.0
AOX,2009-05-08,0.0
AOX,2009-05-21,0.0
AOX,2009-05-25,0.0
AOX,2009-05-28,0.0
AOX,2009-06-12,0.0
AOX,2009-06-14,0.0
AOX,2009-06-25,0.0
AOX,2009-06-28,0.0
AOX,2009-07-09,0.0
AOX,2009-07-11,0.0
AOX,2009-07-23,0.0
AOX,2009-07-26,0.0
AOX,2009-07-30,0.0
AOX,2009-08-08,0.0
AOX,2009-08-20,0.0
AOX,2009-08-21,0.0
AOX,2009-08-23,0.0
AOX,2009-08-28,0.0
AOX,2009-09-07,0.0
AOX,2009-09-09,0.0
AOX,2009-09-22,0.0
AOX,2009-09-24,0.0
AOX,2009-09-27,0.0
AOX,2009-10-08,0.0
AOX,2009-10-10,0.0
AOX,2009-10-19,0.0
AOX,2009-10-30,0.0
AOX,2009-11-13,0.0
AOX,2009-11-14,0.0
AOX,2009-11-16,0.0
AOX,2009-12-05,0.0
AOX,2009-12-19,0.0
AOX,2010-01-28,37.25
AOX,2010-02-18,20.9
AOX,2010-03-24,42.5
AOX,2010-03-25,11.17
AOX,2010-04-21,23.0
AOX,2010-04-22,18.33
AOX,2010-05-19,13.57
AOX,2010-05-26,25.0
AOX,2010-06-23,22.75
AOX,2010-07-24,16.67
AOX,2010-07-28,29.0
AOX,2010-08-18,17.83
AOX,2010-08-26,31.5
AOX,2010-09-25,16.1
AOX,2010-09-29,30.5
AOX,2010-10-20,31.0
AOX,2010-10-21,17.1
AOX,2010-11-18,19.4
AOX,2010-11-24,31.2
AOX,2010-12-15,36.4
AOX,2013-01-17,25.33
AOX,2013-01-25,26.0
AOX,2013-02-21,29.0
AOX,2013-02-22,23.0
AOX,2013-03-15,19.75
AOX,2013-04-14,18.67
AOX,2013-04-19,53.0
AOX,2013-05-17,44.33
AOX,2013-05-23,44.0
AOX,2013-06-20,15.0
AOX,2013-06-27,26.0
AOX,2013-07-19,21.0
AOX,2013-07-25,24.0
AOX,2013-08-16,22.67
AOX,2013-08-22,31.0
AOX,2013-09-26,23.75
AOX,2013-10-18,22.33
AOX,2013-10-24,32.0
AOX,2013-11-14,24.67
AOX,2013-11-21,30.0
AOX,2013-12-12,33.0
AOX,2013-12-14,25.67
AOX,2016-01-08,17.7
AOX,2016-02-17,18.13
AOX,2016-02-20,28.7
AOX,2016-03-17,13.67
AOX,2016-03-20,25.3
AOX,2016-04-28,14.5
AOX,2016-04-29,26.4
AOX,2016-05-28,18.62
AOX,2016-06-16,14.17
AOX,2016-06-19,28.6
AOX,2016-07-21,13.27
AOX,2016-07-23,29.2
AOX,2016-08-21,17.65
AOX,2016-09-22,17.48
AOX,2016-10-20,14.47
AOX,2016-10-21,28.3
AOX,2016-11-17,14.2
AOX,2016-11-18,27.6
AOX,2016-12-10,12.57
AOX,2016-12-12,26.8
Acenaphthene,2008-01-24,0.0
Acenaphthene,2008-02-21,0.0
Acenaphthene,2008-02-23,0.0
Acenaphthene,2008-03-21,0.0
Acenaphthene,2008-03-23,0.0
Acenaphthene,2008-05-26,0.0
Acenaphthene,2008-06-20,0.0
Acenaphthene,2008-06-29,0.0
Acenaphthene,2008-07-11,0.0
Acenaphthene,2008-07-25,0.01
Acenaphthene,2008-07-27,0.0
Acenaphthene,2008-08-22,0.0
Acenaphthene,2008-09-26,0.0
Acenaphthene,2008-09-28,0.0
Acenaphthene,2008-10-24,0.0
Acenaphthene,2008-10-26,0.0
Acenaphthene,2008-11-27,0.0
Acenaphthene,2008-11-28,0.0
Acenaphthene,2009-01-29,0.0
Acenaphthene,2009-02-27,0.0
Acenaphthene,2009-03-19,0.0
Acenaphthene,2009-04-23,0.0
Acenaphthene,2009-05-21,0.0
Acenaphthene,2009-05-28,0.0
Acenaphthene,2009-06-25,0.0
Acenaphthene,2009-07-23,0.0
Acenaphthene,2009-07-30,0.0
Acenaphthene,2009-08-20,0.0
Acenaphthene,2009-08-21,0.0
Acenaphthene,2009-09-09,0.0
Acenaphthene,2009-09-21,0.0
Acenaphthene,2009-10-22,0.0
Acenaphthene,2009-10-29,0.0
Acenaphthene,2009-11-07,0.0
Acenaphthene,2009-11-26,0.0
Acenaphthene,2009-12-13,0.0
Acenaphthylene,2008-01-24,0.0
Acenaphthylene,2008-02-21,0.0
Acenaphthylene,2008-02-23,0.0
Acenaphthylene,2008-03-21,0.0
Acenaphthylene,2008-03-23,0.0
Acenaphthylene,2008-05-26,0.0
Acenaphthylene,2008-06-20,0.0
Acenaphthylene,2008-06-29,0.0
Acenaphthylene,2008-07-11,0.0
Acenaphthylene,2008-07-25,0.0
Acenaphthylene,2008-07-27,0.0
Acenaphthylene,2008-08-22,0.0
Acenaphthylene,2008-09-26,0.0
Acenaphthylene,2008-09-28,0.0
Acenaphthylene,2008-10-24,0.0
Acenaphthylene,2008-10-26,0.0
Acenaphthylene,2008-11-27,0.0
Acenaphthylene,2008-11-28,0.0
Acenaphthylene,2009-01-29,0.0
Acenaphthylene,2009-02-27,0.0
Acenaphthylene,2009-03-19,0.0
Acenaphthylene,2009-04-23,0.0
Acenaphthylene,2009-05-21,0.0
Acenaphthylene,2009-05-28,0.0
Acenaphthylene,2009-06-25,0.0
Acenaphthylene,2009-07-23,0.0
Acenaphthylene,2009-07-30,0.0
Acenaphthylene,2009-08-20,0.0
Acenaphthylene,2009-08-21,0.0
Acenaphthylene,2009-09-09,0.0
Acenaphthylene,2009-09-21,0.0
Acenaphthylene,2009-10-22,0.0
Acenaphthylene,2009-10-29,0.0
Acenaphthylene,2009-11-07,0.0
Acenaphthylene,2009-11-26,0.0
Acenaphthylene,2009-12-13,0.0
Alachlor,2005-05-13,0.01
Alachlor,2005-05-16,0.0
Alachlor,2005-05-23,0.02
Alachlor,2005-05-27,0.04
Alachlor,2005-05-28,0.0
Alachlor,2005-05-29,0.0
Alachlor,2005-07-08,0.02
Alachlor,2005-07-22,0.0
Alachlor,2005-07-23,0.01
Alachlor,2005-07-24,0.0
Alachlor,2005-07-29,0.0
Alachlor,2005-07-31,0.01
Alachlor,2005-08-12,0.23
Alachlor,2005-08-18,0.05
Alachlor,2005-08-24,0.44
Alachlor,2005-08-25,0.02
Alachlor,2005-08-26,0.17
Alachlor,2005-09-09,0.2
Alachlor,2005-09-22,0.34
Alachlor,2005-09-23,0.06
Alachlor,2005-09-24,0.47
Alachlor,2005-09-25,0.04
Alachlor,2005-09-29,0.37
Alachlor,2006-01-13,0.09
Alachlor,2006-01-27,0.09
Alachlor,2006-01-29,0.15
Alachlor,2006-02-10,0.16
Alachlor,2006-02-24,0.15
Alachlor,2006-02-25,0.17
Alachlor,2006-02-26,0.4
Alachlor,2006-02-28,0.15
Alachlor,2006-03-09,0.34
Alachlor,2006-03-17,0.39
Alachlor,2006-03-23,0.25
Alachlor,2006-03-25,0.57
Alachlor,2006-03-29,0.39
Alachlor,2006-04-06,0.15
Alachlor,2006-04-15,0.26
Alachlor,2006-04-23,0.14
Alachlor,2006-04-27,0.21
Alachlor,2006-04-29,0.38
Alachlor,2006-04-30,0.18
Alachlor,2006-05-03,0.09
Alachlor,2006-05-11,0.11
Alachlor,2006-05-25,0.25
Alachlor,2006-05-27,0.16
Alachlor,2006-05-31,0.13
Alachlor,2006-06-01,0.25
Alachlor,2006-06-08,0.49
Alachlor,2006-06-18,0.3
Alachlor,2006-06-22,0.64
Alachlor,2006-06-25,0.1
Alachlor,2006-06-26,0.14
Alachlor,2006-07-09,0.13
Alachlor,2006-07-11,0.19
Alachlor,2006-07-13,0.21
Alachlor,2006-07-15,0.43
Alachlor,2006-07-16,0.12
Alachlor,2006-07-27,0.33
Alachlor,2006-07-29,0.21
Alachlor,2006-08-10,0.26
Alachlor,2006-08-13,0.11
Alachlor,2006-08-18,0.09
Alachlor,2006-08-24,0.47
Alachlor,2006-08-26,0.09
Alachlor,2006-08-27,0.07
Alachlor,2006-09-02,0.15
Alachlor,2006-09-07,0.26
Alachlor,2006-09-14,0.32
Alachlor,2006-09-21,0.36
Alachlor,2006-09-22,0.18
Alachlor,2006-09-23,0.41
Alachlor,2006-09-29,0.12
Alachlor,2006-10-06,0.13
Alachlor,2006-10-08,0.08
Alachlor,2006-10-12,0.16
Alachlor,2006-10-26,0.26
Alachlor,2006-10-28,0.57
Alachlor,2006-11-09,0.25
Alachlor,2006-11-15,0.11
Alachlor,2006-11-22,0.12
Alachlor,2006-11-23,0.34
Alachlor,2006-11-25,0.08
Alachlor,2006-12-07,0.07
Alachlor,2006-12-10,0.2
Alachlor,2006-12-13,0.16
Alachlor,2006-12-20,0.25
Alachlor,2006-12-21,0.14
Alachlor,2006-12-23,0.17
Alachlor,2007-01-11,0.08
Alachlor,2007-01-18,0.08
Alachlor,2007-01-24,0.05
Alachlor,2007-01-25,0.26
Alachlor,2007-01-27,0.04
Alachlor,2007-02-08,0.11
Alachlor,2007-02-15,0.07
Alachlor,2007-02-16,0.08
Alachlor,2007-02-22,0.15
Alachlor,2007-02-24,0.12
Alachlor,2007-03-09,0.18
Alachlor,2007-03-15,0.07
Alachlor,2007-03-22,0.15
Alachlor,2007-03-23,0.02
Alachlor,2007-03-24,0.35
Alachlor,2007-03-28,0.02
Alachlor,2007-03-31,0.12
Alachlor,2007-04-06,0.14
Alachlor,2007-04-12,0.14
Alachlor,2007-04-19,0.19
Alachlor,2007-04-20,0.06
Alachlor,2007-04-25,0.09
Alachlor,2007-05-10,0.27
Alachlor,2007-05-24,0.08
Alachlor,2007-05-26,0.05
Alachlor,2007-05-31,0.05
Alachlor,2007-06-07,0.03
Alachlor,2007-06-09,0.02
Alachlor,2007-06-21,0.06
Alachlor,2007-06-23,0.02
Alachlor,2007-07-05,0.04
Alachlor,2007-07-07,0.05
Alachlor,2007-07-19,0.04
Alachlor,2007-07-21,0.04
Alachlor,2007-07-25,0.07
Alachlor,2007-08-04,0.05
Alachlor,2007-08-11,0.05
Alachlor,2007-08-23,0.03
Alachlor,2007-08-25,0.08
Alachlor,2007-08-29,0.03
Alachlor,2007-09-06,0.09
Alachlor,2007-09-12,0.05
Alachlor,2007-09-20,0.05
Alachlor,2007-09-21,0.09
Alachlor,2007-09-23,0.05
Alachlor,2007-09-29,0.09
Alachlor,2007-09-30,0.1
Alachlor,2007-10-07,0.07
Alachlor,2007-10-13,0.1
Alachlor,2007-10-25,0.06
Alachlor,2007-10-26,0.1
Alachlor,2007-10-27,0.07
Alachlor,2007-10-28,0.06
Alachlor,2007-11-10,0.12
Alachlor,2007-11-21,0.06
Alachlor,2007-11-22,0.05
Alachlor,2007-11-23,0.04
Alachlor,2007-11-24,0.03
Alachlor,2007-11-28,0.01
Alachlor,2007-11-30,0.03
Alachlor,2007-12-08,0.03
Alachlor,2007-12-13,0.02
Alachlor,2007-12-20,0.04
Alachlor,2007-12-22,0.04
Alachlor,2007-12-28,0.03
Alachlor,2009-09-22,0.02
Alachlor,2009-09-24,0.02
Alachlor,2009-09-25,0.02
Alachlor,2009-09-27,0.02
Alachlor,2009-09-28,0.02
Alachlor,2009-10-19,0.03
Alachlor,2009-10-30,0.02
Alachlor,2009-11-13,0.02
Aldrin,2005-01-14,0.0
Aldrin,2005-01-16,0.0
Aldrin,2005-01-22,0.0
Aldrin,2005-01-27,0.0
Aldrin,2005-01-28,0.0
Aldrin,2005-01-30,0.0
Aldrin,2005-02-20,0.0
Aldrin,2005-02-24,0.0
Aldrin,2005-02-27,0.0
Aldrin,2005-02-28,0.0
Aldrin,2005-03-11,0.0
Aldrin,2005-03-17,0.0
Aldrin,2005-03-24,0.0
Aldrin,2005-03-25,0.0
Aldrin,2005-03-27,0.0
Aldrin,2005-03-31,0.0
Aldrin,2005-04-08,0.04
Aldrin,2005-04-11,0.0
Aldrin,2005-04-21,0.0
Aldrin,2005-04-22,0.02
Aldrin,2005-04-24,0.07
Aldrin,2005-04-25,0.0
Aldrin,2005-05-13,0.0
Aldrin,2005-05-16,0.0
Aldrin,2005-05-23,0.0
Aldrin,2005-05-27,0.0
Aldrin,2005-05-28,0.0
Aldrin,2005-05-29,0.0
Aldrin,2005-06-10,0.0
Aldrin,2005-06-12,0.01
Aldrin,2005-06-13,0.0
Aldrin,2005-06-20,0.0
Aldrin,2005-06-21,0.0
Aldrin,2005-06-24,0.0
Aldrin,2005-07-08,0.0
Aldrin,2005-07-22,0.04
Aldrin,2005-07-23,0.07
Aldrin,2005-07-24,0.14
Aldrin,2005-07-29,0.0
Aldrin,2005-07-31,0.05
Aldrin,2005-08-12,0.02
Aldrin,2005-08-18,0.0
Aldrin,2005-08-24,0.0
Aldrin,2005-08-25,0.0
Aldrin,2005-08-26,0.0
Aldrin,2005-09-09,0.01
Aldrin,2005-09-22,0.0
Aldrin,2005-09-23,0.03
Aldrin,2005-09-24,0.0
Aldrin,2005-09-25,0.0
Aldrin,2005-09-29,0.0
Aldrin,2005-10-10,0.08
Aldrin,2005-10-20,0.02
Aldrin,2005-10-23,0.15
Aldrin,2005-11-06,0.03
Aldrin,2005-11-19,0.0
Aldrin,2005-12-09,0.07
Aldrin,2005-12-16,0.1
Aldrin,2006-01-13,0.03
Aldrin,2006-01-27,0.04
Aldrin,2006-02-10,0.06
Aldrin,2006-02-24,0.13
Aldrin,2006-02-25,0.1
Aldrin,2006-02-26,0.16
Aldrin,2006-02-28,0.08
Aldrin,2006-03-09,0.31
Aldrin,2006-03-17,0.22
Aldrin,2006-03-23,0.2
Aldrin,2006-03-25,0.23
Aldrin,2006-03-29,0.43
Aldrin,2006-04-06,0.15
Aldrin,2006-04-15,0.26
Aldrin,2006-04-23,0.08
Aldrin,2006-04-27,0.19
Aldrin,2006-04-29,0.01
Aldrin,2006-04-30,0.16
Aldrin,2006-05-11,0.08
Aldrin,2006-06-01,0.05
Aldrin,2006-06-08,0.15
Aldrin,2006-06-18,0.09
Aldrin,2006-06-25,0.14
Aldrin,2006-06-26,0.05
Aldrin,2006-07-09,0.11
Aldrin,2006-07-11,0.1
Aldrin,2006-07-13,0.08
Aldrin,2006-07-15,0.01
Aldrin,2006-07-16,0.04
Aldrin,2006-07-27,0.12
Aldrin,2006-07-29,0.11
Aldrin,2006-08-10,0.07
Aldrin,2006-08-13,0.03
Aldrin,2006-08-18,0.07
Aldrin,2006-08-24,0.12
Aldrin,2006-08-26,0.02
Aldrin,2006-08-27,0.03
Aldrin,2006-09-02,0.08
Aldrin,2006-09-07,0.06
Aldrin,2006-09-14,0.1
Aldrin,2006-09-21,0.09
Aldrin,2006-09-22,0.05
Aldrin,2006-09-23,0.22
Aldrin,2006-09-29,0.03
Aldrin,2006-10-06,0.05
Aldrin,2006-10-08,0.02
Aldrin,2006-10-12,0.04
Aldrin,2006-10-26,0.08
Aldrin,2006-10-28,0.18
Aldrin,2006-11-09,0.17
Aldrin,2006-11-15,0.04
Aldrin,2006-11-22,0.05
Aldrin,2006-11-23,0.11
Aldrin,2006-11-25,0.04
Aldrin,2006-12-07,0.03
Aldrin,2006-12-10,0.1
Aldrin,2006-12-13,0.25
Aldrin,2006-12-20,0.12
Aldrin,2006-12-21,0.02
Aldrin,2006-12-23,0.02
Aldrin,2007-01-11,0.18
Aldrin,2007-01-18,0.08
Aldrin,2007-01-24,0.03
Aldrin,2007-01-25,0.04
Aldrin,2007-01-27,0.04
