chemical,sample_year,count
Aluminium,2015,0
Aluminium,2016,0
Ammonium,1998,120
Ammonium,1999,176
Ammonium,2000,179
Ammonium,2001,157
Ammonium,2002,240
Ammonium,2003,236
Ammonium,2004,227
Ammonium,2005,252
Ammonium,2006,249
Ammonium,2007,228
Ammonium,2008,233
Ammonium,2009,282
Ammonium,2010,307
Ammonium,2011,331
Ammonium,2012,300
Ammonium,2013,295
Ammonium,2014,326
Ammonium,2015,328
Ammonium,2016,324
Anionic active surfactants,1998,0
Anionic active surfactants,1999,36
Anionic active surfactants,2000,179
Anionic active surfactants,2001,145
Anionic active surfactants,2002,15
Anionic active surfactants,2003,70
Anionic active surfactants,2004,56
Anionic active surfactants,2005,132
Anionic active surfactants,2006,162
Anionic active surfactants,2007,177
Anionic active surfactants,2008,203
Anionic active surfactants,2009,211
Anionic active surfactants,2010,153
Anionic active surfactants,2011,106
Anionic active surfactants,2012,65
Anionic active surfactants,2013,151
Anionic active surfactants,2014,122
Anionic active surfactants,2015,96
Anionic active surfactants,2016,141
Anthracene,1998,0
Anthracene,1999,0
Anthracene,2000,0
Anthracene,2001,0
Anthracene,2002,0
Anthracene,2003,0
Anthracene,2004,0
Anthracene,2005,0
Anthracene,2006,0
Anthracene,2007,0
Anthracene,2008,34
Anthracene,2009,56
Anthracene,2010,0
Anthracene,2011,0
Anthracene,2012,0
Anthracene,2013,0
Anthracene,2014,0
Anthracene,2015,0
Anthracene,2016,0
Arsenic,1998,120
Arsenic,1999,0
Arsenic,2000,0
Arsenic,2001,0
Arsenic,2002,0
Arsenic,2003,0
Arsenic,2004,5
Arsenic,2005,0
Arsenic,2006,0
Arsenic,2007,0
Arsenic,2008,86
Arsenic,2009,106
Arsenic,2010,165
Arsenic,2011,155
Arsenic,2012,80
Arsenic,2013,63
Arsenic,2014,109
Arsenic,2015,39
Arsenic,2016,76
Atrazine,1998,120
Atrazine,1999,3
Atrazine,2000,67
Atrazine,2001,77
Atrazine,2002,130
Atrazine,2003,20
Atrazine,2004,7
Atrazine,2005,151
Atrazine,2006,219
Atrazine,2007,221
Atrazine,2008,127
Atrazine,2009,102
Atrazine,2010,129
Atrazine,2011,0
Atrazine,2012,32
Atrazine,2013,142
Atrazine,2014,189
Atrazine,2015,197
Atrazine,2016,204
Barium,1998,0
Barium,1999,0
Barium,2000,0
Barium,2001,0
Barium,2002,0
Barium,2003,0
Barium,2004,0
Barium,2005,0
Barium,2006,0
Barium,2007,0
Barium,2008,76
Barium,2009,28
Barium,2010,0
Barium,2011,0
Barium,2012,16
Barium,2013,0
Barium,2014,0
Barium,2015,0
Barium,2016,0
Benzo(a)anthracene,1998,0
Benzo(a)anthracene,1999,0
Benzo(a)anthracene,2000,0
Benzo(a)anthracene,2001,0
Benzo(a)anthracene,2002,0
Benzo(a)anthracene,2003,0
Benzo(a)anthracene,2004,0
Benzo(a)anthracene,2005,0
Benzo(a)anthracene,2006,0
Benzo(a)anthracene,2007,0
Benzo(a)anthracene,2008,34
Benzo(a)anthracene,2009,56
Benzo(a)anthracene,2010,0
Benzo(a)anthracene,2011,0
Benzo(a)anthracene,2012,0
Benzo(a)anthracene,2013,0
Benzo(a)anthracene,2014,0
Benzo(a)anthracene,2015,0
Benzo(a)anthracene,2016,0
Benzo(a)pyrene,1998,0
Benzo(a)pyrene,1999,0
Benzo(a)pyrene,2000,0
Benzo(a)pyrene,2001,0
Benzo(a)pyrene,2002,0
Benzo(a)pyrene,2003,8
Benzo(a)pyrene,2004,0
Benzo(a)pyrene,2005,0
Benzo(a)pyrene,2006,0
Benzo(a)pyrene,2007,0
Benzo(a)pyrene,2008,34
Benzo(a)pyrene,2009,56
Benzo(a)pyrene,2010,0
Benzo(a)pyrene,2011,0
Benzo(a)pyrene,2012,0
Benzo(a)pyrene,2013,0
Benzo(a)pyrene,2014,0
Benzo(a)pyrene,2015,0
Benzo(a)pyrene,2016,0
Benzo(b)fluoranthene,1998,0
Benzo(b)fluoranthene,1999,0
Benzo(b)fluoranthene,2000,0
Benzo(b)fluoranthene,2001,0
Benzo(b)fluoranthene,2002,0
Benzo(b)fluoranthene,2003,8
Benzo(b)fluoranthene,2004,0
Benzo(b)fluoranthene,2005,0
Benzo(b)fluoranthene,2006,0
Benzo(b)fluoranthene,2007,0
Benzo(b)fluoranthene,2008,34
Benzo(b)fluoranthene,2009,56
Benzo(b)fluoranthene,2010,0
Benzo(b)fluoranthene,2011,0
Benzo(b)fluoranthene,2012,0
Benzo(b)fluoranthene,2013,0
Benzo(b)fluoranthene,2014,0
Benzo(b)fluoranthene,2015,0
Benzo(b)fluoranthene,2016,0
Benzo(g-h-i)perylene,1998,0
Benzo(g-h-i)perylene,1999,0
Benzo(g-h-i)perylene,2000,0
Benzo(g-h-i)perylene,2001,0
Benzo(g-h-i)perylene,2002,0
Benzo(g-h-i)perylene,2003,8
Benzo(g-h-i)perylene,2004,0
Benzo(g-h-i)perylene,2005,0
Benzo(g-h-i)perylene,2006,0
Benzo(g-h-i)perylene,2007,0
Benzo(g-h-i)perylene,2008,0
Benzo(g-h-i)perylene,2009,14
Benzo(g-h-i)perylene,2010,0
Benzo(g-h-i)perylene,2011,0
Benzo(g-h-i)perylene,2012,0
Benzo(g-h-i)perylene,2013,0
Benzo(g-h-i)perylene,2014,0
Benzo(g-h-i)perylene,2015,0
Benzo(g-h-i)perylene,2016,0
Benzo(k)fluoranthene,1998,0
Benzo(k)fluoranthene,1999,0
Benzo(k)fluoranthene,2000,0
Benzo(k)fluoranthene,2001,0
Benzo(k)fluoranthene,2002,0
Benzo(k)fluoranthene,2003,8
Benzo(k)fluoranthene,2004,0
Benzo(k)fluoranthene,2005,0
Benzo(k)fluoranthene,2006,0
Benzo(k)fluoranthene,2007,0
Benzo(k)fluoranthene,2008,34
Benzo(k)fluoranthene,2009,56
Benzo(k)fluoranthene,2010,0
Benzo(k)fluoranthene,2011,0
Benzo(k)fluoranthene,2012,0
Benzo(k)fluoranthene,2013,0
Benzo(k)fluoranthene,2014,0
Benzo(k)fluoranthene,2015,0
Benzo(k)fluoranthene,2016,0
Berilium,1998,0
Berilium,1999,0
Berilium,2000,0
Berilium,2001,0
Berilium,2002,0
Berilium,2003,0
Berilium,2004,0
Berilium,2005,0
Berilium,2006,0
Berilium,2007,0
Berilium,2008,0
Berilium,2009,0
Berilium,2010,0
Berilium,2011,0
Berilium,2012,13
Berilium,2013,0
Berilium,2014,0
Berilium,2015,0
Berilium,2016,0
Bicarbonates,1998,0
Bicarbonates,1999,48
Bicarbonates,2000,179
Bicarbonates,2001,157
Bicarbonates,2002,240
Bicarbonates,2003,231
Bicarbonates,2004,200
Bicarbonates,2005,216
Bicarbonates,2006,210
Bicarbonates,2007,196
Bicarbonates,2008,200
Bicarbonates,2009,109
Bicarbonates,2010,55
Bicarbonates,2011,226
Bicarbonates,2012,55
Bicarbonates,2013,54
Bicarbonates,2014,167
Bicarbonates,2015,139
Bicarbonates,2016,144
Biochemical Oxygen,1998,120
Biochemical Oxygen,1999,176
Biochemical Oxygen,2000,179
Biochemical Oxygen,2001,157
Biochemical Oxygen,2002,219
Biochemical Oxygen,2003,208
Biochemical Oxygen,2004,219
Biochemical Oxygen,2005,252
Biochemical Oxygen,2006,237
Biochemical Oxygen,2007,222
Biochemical Oxygen,2008,230
Biochemical Oxygen,2009,275
Biochemical Oxygen,2010,245
Biochemical Oxygen,2011,256
Biochemical Oxygen,2012,285
Biochemical Oxygen,2013,280
Biochemical Oxygen,2014,308
Biochemical Oxygen,2015,312
Biochemical Oxygen,2016,308
Boron,1998,0
Boron,1999,0
Boron,2000,0
Boron,2001,0
Boron,2002,0
Boron,2003,0
Boron,2004,0
Boron,2005,0
Boron,2006,0
Boron,2007,0
Boron,2008,0
Boron,2009,0
Boron,2010,0
Boron,2011,0
Boron,2012,13
Boron,2013,0
Boron,2014,0
Boron,2015,0
Boron,2016,0
Cadmium,1998,123
Cadmium,1999,185
Cadmium,2000,191
Cadmium,2001,132
Cadmium,2002,177
Cadmium,2003,200
Cadmium,2004,234
Cadmium,2005,219
Cadmium,2006,201
Cadmium,2007,229
Cadmium,2008,79
Cadmium,2009,110
Cadmium,2010,194
Cadmium,2011,201
Cadmium,2012,92
Cadmium,2013,74
Cadmium,2014,109
Cadmium,2015,81
Cadmium,2016,132
Calcium,1998,120
Calcium,1999,176
Calcium,2000,179
Calcium,2001,157
Calcium,2002,240
Calcium,2003,228
Calcium,2004,199
Calcium,2005,216
Calcium,2006,213
Calcium,2007,196
Calcium,2008,203
Calcium,2009,218
Calcium,2010,201
Calcium,2011,167
Calcium,2012,190
Calcium,2013,203
Calcium,2014,233
Calcium,2015,215
Calcium,2016,211
Carbonates,1998,0
Carbonates,1999,0
Carbonates,2000,0
Carbonates,2001,0
Carbonates,2002,0
Carbonates,2003,0
Carbonates,2004,0
Carbonates,2005,13
Carbonates,2006,0
Carbonates,2007,11
Carbonates,2008,11
Carbonates,2009,0
Carbonates,2010,0
Carbonates,2011,0
Carbonates,2012,0
Carbonates,2013,0
Carbonates,2014,0
Carbonates,2015,1
Carbonates,2016,0
Cesium,1998,120
Cesium,1999,0
Cesium,2000,0
Cesium,2001,0
Cesium,2002,0
Cesium,2003,0
Cesium,2004,0
Cesium,2005,0
Cesium,2006,0
Cesium,2007,0
Cesium,2008,0
Cesium,2009,0
Cesium,2010,0
Cesium,2011,0
Cesium,2012,0
Cesium,2013,0
Cesium,2014,0
Cesium,2015,0
Cesium,2016,0
Chemical Oxygen Demand (Cr),1998,119
Chemical Oxygen Demand (Cr),1999,145
Chemical Oxygen Demand (Cr),2000,179
Chemical Oxygen Demand (Cr),2001,149
Chemical Oxygen Demand (Cr),2002,174
Chemical Oxygen Demand (Cr),2003,221
Chemical Oxygen Demand (Cr),2004,215
Chemical Oxygen Demand (Cr),2005,87
Chemical Oxygen Demand (Cr),2006,139
Chemical Oxygen Demand (Cr),2007,201
Chemical Oxygen Demand (Cr),2008,228
Chemical Oxygen Demand (Cr),2009,271
Chemical Oxygen Demand (Cr),2010,221
Chemical Oxygen Demand (Cr),2011,253
Chemical Oxygen Demand (Cr),2012,229
Chemical Oxygen Demand (Cr),2013,219
Chemical Oxygen Demand (Cr),2014,238
Chemical Oxygen Demand (Cr),2015,215
Chemical Oxygen Demand (Cr),2016,215
Chemical Oxygen Demand (Mn),1998,120
Chemical Oxygen Demand (Mn),1999,176
Chemical Oxygen Demand (Mn),2000,179
Chemical Oxygen Demand (Mn),2001,157
Chemical Oxygen Demand (Mn),2002,228
Chemical Oxygen Demand (Mn),2003,221
Chemical Oxygen Demand (Mn),2004,201
Chemical Oxygen Demand (Mn),2005,226
Chemical Oxygen Demand (Mn),2006,231
Chemical Oxygen Demand (Mn),2007,196
Chemical Oxygen Demand (Mn),2008,209
Chemical Oxygen Demand (Mn),2009,242
Chemical Oxygen Demand (Mn),2010,204
Chemical Oxygen Demand (Mn),2011,243
Chemical Oxygen Demand (Mn),2012,210
Chemical Oxygen Demand (Mn),2013,221
Chemical Oxygen Demand (Mn),2014,229
Chemical Oxygen Demand (Mn),2015,203
Chemical Oxygen Demand (Mn),2016,194
Chlorides,1998,120
Chlorides,1999,176
Chlorides,2000,179
Chlorides,2001,157
Chlorides,2002,240
Chlorides,2003,237
Chlorides,2004,206
Chlorides,2005,240
Chlorides,2006,243
Chlorides,2007,213
Chlorides,2008,203
Chlorides,2009,243
Chlorides,2010,222
Chlorides,2011,227
Chlorides,2012,194
Chlorides,2013,204
Chlorides,2014,235
Chlorides,2015,209
Chlorides,2016,213
Chlorodinine,1998,0
Chlorodinine,1999,0
Chlorodinine,2000,0
Chlorodinine,2001,0
Chlorodinine,2002,0
Chlorodinine,2003,0
Chlorodinine,2004,0
Chlorodinine,2005,0
Chlorodinine,2006,0
Chlorodinine,2007,0
Chlorodinine,2008,0
Chlorodinine,2009,0
Chlorodinine,2010,0
Chlorodinine,2011,0
Chlorodinine,2012,0
Chlorodinine,2013,0
Chlorodinine,2014,168
Chlorodinine,2015,145
Chlorodinine,2016,161
Chromium,1998,123
Chromium,1999,186
Chromium,2000,191
Chromium,2001,153
Chromium,2002,175
Chromium,2003,206
Chromium,2004,232
Chromium,2005,245
Chromium,2006,243
Chromium,2007,229
Chromium,2008,79
Chromium,2009,120
Chromium,2010,204
Chromium,2011,204
Chromium,2012,92
Chromium,2013,75
Chromium,2014,109
Chromium,2015,77
Chromium,2016,72
Chrysene,1998,0
Chrysene,1999,0
Chrysene,2000,0
Chrysene,2001,0
Chrysene,2002,0
Chrysene,2003,0
Chrysene,2004,0
Chrysene,2005,0
Chrysene,2006,0
Chrysene,2007,0
Chrysene,2008,34
Chrysene,2009,42
Chrysene,2010,0
Chrysene,2011,0
Chrysene,2012,0
Chrysene,2013,0
Chrysene,2014,0
Chrysene,2015,0
Chrysene,2016,0
Copper,1998,123
Copper,1999,186
Copper,2000,191
Copper,2001,153
Copper,2002,177
Copper,2003,201
Copper,2004,227
Copper,2005,245
Copper,2006,243
Copper,2007,229
Copper,2008,79
Copper,2009,114
Copper,2010,203
Copper,2011,204
Copper,2012,93
Copper,2013,75
Copper,2014,109
Copper,2015,78
Copper,2016,72
Cyanides,1998,0
Cyanides,1999,0
Cyanides,2000,0
Cyanides,2001,0
Cyanides,2002,0
Cyanides,2003,0
Cyanides,2004,0
Cyanides,2005,0
Cyanides,2006,0
Cyanides,2007,0
Cyanides,2008,126
Cyanides,2009,149
Cyanides,2010,79
Cyanides,2011,12
Cyanides,2012,20
Cyanides,2013,0
Cyanides,2014,0
Cyanides,2015,0
Cyanides,2016,0
Dieldrin,1998,0
Dieldrin,1999,0
Dieldrin,2000,0
Dieldrin,2001,0
Dieldrin,2002,0
Dieldrin,2003,0
Dieldrin,2004,0
Dieldrin,2005,197
Dieldrin,2006,167
Dieldrin,2007,220
Dieldrin,2008,0
Dieldrin,2009,13
Dieldrin,2010,0
Dieldrin,2011,0
Dieldrin,2012,0
Dieldrin,2013,0
Dieldrin,2014,0
Dieldrin,2015,0
Dieldrin,2016,0
Dissolved organic carbon,1998,0
Dissolved organic carbon,1999,0
Dissolved organic carbon,2000,0
Dissolved organic carbon,2001,0
Dissolved organic carbon,2002,0
Dissolved organic carbon,2003,0
Dissolved organic carbon,2004,0
Dissolved organic carbon,2005,0
Dissolved organic carbon,2006,0
Dissolved organic carbon,2007,0
Dissolved organic carbon,2008,8
Dissolved organic carbon,2009,0
Dissolved organic carbon,2010,0
Dissolved organic carbon,2011,0
Dissolved organic carbon,2012,0
Dissolved organic carbon,2013,0
Dissolved organic carbon,2014,12
Dissolved organic carbon,2015,0
Dissolved organic carbon,2016,0
Dissolved oxygen,1998,119
Dissolved oxygen,1999,181
Dissolved oxygen,2000,180
Dissolved oxygen,2001,157
Dissolved oxygen,2002,236
Dissolved oxygen,2003,231
Dissolved oxygen,2004,227
Dissolved oxygen,2005,252
Dissolved oxygen,2006,248
Dissolved oxygen,2007,228
Dissolved oxygen,2008,233
Dissolved oxygen,2009,281
Dissolved oxygen,2010,248
Dissolved oxygen,2011,276
Dissolved oxygen,2012,279
Dissolved oxygen,2013,283
Dissolved oxygen,2014,311
Dissolved oxygen,2015,277
Dissolved oxygen,2016,284
Dissolved silicates,1998,0
Dissolved silicates,1999,0
Dissolved silicates,2000,0
Dissolved silicates,2001,0
Dissolved silicates,2002,0
Dissolved silicates,2003,0
Dissolved silicates,2004,0
Dissolved silicates,2005,0
Dissolved silicates,2006,0
Dissolved silicates,2007,0
Dissolved silicates,2008,1
Dissolved silicates,2009,27
Dissolved silicates,2010,58
Dissolved silicates,2011,18
Dissolved silicates,2012,0
Dissolved silicates,2013,241
Dissolved silicates,2014,189
Dissolved silicates,2015,18
Dissolved silicates,2016,12
Endosulfan (alpha),1998,0
Endosulfan (alpha),1999,0
Endosulfan (alpha),2000,0
Endosulfan (alpha),2001,0
Endosulfan (alpha),2002,0
Endosulfan (alpha),2003,0
Endosulfan (alpha),2004,0
Endosulfan (alpha),2005,177
Endosulfan (alpha),2006,168
Endosulfan (alpha),2007,221
Endosulfan (alpha),2008,0
Endosulfan (alpha),2009,0
Endosulfan (alpha),2010,0
Endosulfan (alpha),2011,0
Endosulfan (alpha),2012,0
Endosulfan (alpha),2013,0
Endosulfan (alpha),2014,0
Endosulfan (alpha),2015,0
Endosulfan (alpha),2016,0
Endosulfan (beta),1998,0
Endosulfan (beta),1999,0
Endosulfan (beta),2000,0
Endosulfan (beta),2001,0
Endosulfan (beta),2002,0
Endosulfan (beta),2003,0
Endosulfan (beta),2004,0
Endosulfan (beta),2005,176
Endosulfan (beta),2006,131
Endosulfan (beta),2007,221
Endosulfan (beta),2008,0
Endosulfan (beta),2009,0
Endosulfan (beta),2010,0
Endosulfan (beta),2011,0
Endosulfan (beta),2012,0
Endosulfan (beta),2013,0
Endosulfan (beta),2014,0
Endosulfan (beta),2015,0
Endosulfan (beta),2016,0
Endrin,1998,0
Endrin,1999,0
Endrin,2000,0
Endrin,2001,0
Endrin,2002,0
Endrin,2003,0
Endrin,2004,0
Endrin,2005,219
Endrin,2006,180
Endrin,2007,220
Endrin,2008,35
Endrin,2009,56
Endrin,2010,0
Endrin,2011,0
Endrin,2012,0
Endrin,2013,0
Endrin,2014,0
Endrin,2015,0
Endrin,2016,0
Fecal coliforms,1998,120
Fecal coliforms,1999,90
Fecal coliforms,2000,137
Fecal coliforms,2001,120
Fecal coliforms,2002,27
Fecal coliforms,2003,114
Fecal coliforms,2004,41
Fecal coliforms,2005,88
Fecal coliforms,2006,65
Fecal coliforms,2007,166
Fecal coliforms,2008,163
Fecal coliforms,2009,172
Fecal coliforms,2010,49
Fecal coliforms,2011,43
Fecal coliforms,2012,50
Fecal coliforms,2013,45
Fecal coliforms,2014,0
Fecal coliforms,2015,0
Fecal coliforms,2016,0
Fecal streptococci ,1998,0
Fecal streptococci ,1999,60
Fecal streptococci ,2000,105
Fecal streptococci ,2001,88
Fecal streptococci ,2002,23
Fecal streptococci ,2003,131
Fecal streptococci ,2004,42
Fecal streptococci ,2005,98
Fecal streptococci ,2006,65
Fecal streptococci ,2007,166
Fecal streptococci ,2008,167
Fecal streptococci ,2009,172
Fecal streptococci ,2010,49
Fecal streptococci ,2011,40
Fecal streptococci ,2012,50
Fecal streptococci ,2013,45
Fecal streptococci ,2014,0
Fecal streptococci ,2015,0
Fecal streptococci ,2016,0
Fluoranthene,1998,0
Fluoranthene,1999,0
Fluoranthene,2000,0
Fluoranthene,2001,0
Fluoranthene,2002,0
Fluoranthene,2003,8
Fluoranthene,2004,0
Fluoranthene,2005,0
Fluoranthene,2006,0
Fluoranthene,2007,0
Fluoranthene,2008,34
Fluoranthene,2009,56
Fluoranthene,2010,0
Fluoranthene,2011,0
Fluoranthene,2012,0
Fluoranthene,2013,0
Fluoranthene,2014,0
Fluoranthene,2015,0
Fluoranthene,2016,0
Fluorene,1998,0
Fluorene,1999,0
Fluorene,2000,0
Fluorene,2001,0
Fluorene,2002,0
Fluorene,2003,0
Fluorene,2004,0
Fluorene,2005,0
Fluorene,2006,0
Fluorene,2007,0
Fluorene,2008,0
Fluorene,2009,15
Fluorene,2010,0
Fluorene,2011,0
Fluorene,2012,0
Fluorene,2013,0
Fluorene,2014,0
Fluorene,2015,0
Fluorene,2016,0
Heptachlor,1998,0
Heptachlor,1999,0
Heptachlor,2000,0
Heptachlor,2001,0
Heptachlor,2002,0
Heptachlor,2003,0
Heptachlor,2004,0
Heptachlor,2005,207
Heptachlor,2006,165
Heptachlor,2007,217
Heptachlor,2008,0
Heptachlor,2009,0
Heptachlor,2010,0
Heptachlor,2011,0
Heptachlor,2012,0
Heptachlor,2013,0
Heptachlor,2014,0
Heptachlor,2015,0
Heptachlor,2016,0
Heptachloroepoxide,1998,0
Heptachloroepoxide,1999,0
Heptachloroepoxide,2000,0
Heptachloroepoxide,2001,0
Heptachloroepoxide,2002,0
Heptachloroepoxide,2003,0
Heptachloroepoxide,2004,0
Heptachloroepoxide,2005,146
Heptachloroepoxide,2006,125
Heptachloroepoxide,2007,220
Heptachloroepoxide,2008,0
Heptachloroepoxide,2009,0
Heptachloroepoxide,2010,0
Heptachloroepoxide,2011,0
Heptachloroepoxide,2012,0
Heptachloroepoxide,2013,0
Heptachloroepoxide,2014,0
Heptachloroepoxide,2015,0
Heptachloroepoxide,2016,0
Hexachlorobenzene,1998,0
Hexachlorobenzene,1999,0
Hexachlorobenzene,2000,0
Hexachlorobenzene,2001,0
Hexachlorobenzene,2002,0
Hexachlorobenzene,2003,0
Hexachlorobenzene,2004,0
Hexachlorobenzene,2005,0
Hexachlorobenzene,2006,0
Hexachlorobenzene,2007,0
Hexachlorobenzene,2008,35
Hexachlorobenzene,2009,55
Hexachlorobenzene,2010,0
Hexachlorobenzene,2011,0
Hexachlorobenzene,2012,0
Hexachlorobenzene,2013,0
Hexachlorobenzene,2014,0
Hexachlorobenzene,2015,0
Hexachlorobenzene,2016,0
Indeno(1-2-3-c-d)pyrene,1998,0
Indeno(1-2-3-c-d)pyrene,1999,0
Indeno(1-2-3-c-d)pyrene,2000,0
Indeno(1-2-3-c-d)pyrene,2001,0
Indeno(1-2-3-c-d)pyrene,2002,0
Indeno(1-2-3-c-d)pyrene,2003,8
Indeno(1-2-3-c-d)pyrene,2004,0
Indeno(1-2-3-c-d)pyrene,2005,0
Indeno(1-2-3-c-d)pyrene,2006,0
Indeno(1-2-3-c-d)pyrene,2007,0
Indeno(1-2-3-c-d)pyrene,2008,0
Indeno(1-2-3-c-d)pyrene,2009,14
Indeno(1-2-3-c-d)pyrene,2010,0
Indeno(1-2-3-c-d)pyrene,2011,0
Indeno(1-2-3-c-d)pyrene,2012,0
Indeno(1-2-3-c-d)pyrene,2013,0
Indeno(1-2-3-c-d)pyrene,2014,0
Indeno(1-2-3-c-d)pyrene,2015,0
Indeno(1-2-3-c-d)pyrene,2016,0
Inorganic nitrogen,1998,0
Inorganic nitrogen,1999,0
Inorganic nitrogen,2000,0
Inorganic nitrogen,2001,0
Inorganic nitrogen,2002,0
Inorganic nitrogen,2003,0
Inorganic nitrogen,2004,0
Inorganic nitrogen,2005,0
Inorganic nitrogen,2006,0
Inorganic nitrogen,2007,0
Inorganic nitrogen,2008,0
Inorganic nitrogen,2009,0
Inorganic nitrogen,2010,62
Inorganic nitrogen,2011,0
Inorganic nitrogen,2012,0
Inorganic nitrogen,2013,1
Inorganic nitrogen,2014,0
Inorganic nitrogen,2015,1
Inorganic nitrogen,2016,0
Iron,1998,120
Iron,1999,174
Iron,2000,179
Iron,2001,153
Iron,2002,192
Iron,2003,198
Iron,2004,237
Iron,2005,249
Iron,2006,243
Iron,2007,229
Iron,2008,79
Iron,2009,120
Iron,2010,128
Iron,2011,121
Iron,2012,61
Iron,2013,60
Iron,2014,64
Iron,2015,103
Iron,2016,0
Isodrin,1998,0
Isodrin,1999,0
Isodrin,2000,0
Isodrin,2001,0
Isodrin,2002,0
Isodrin,2003,0
Isodrin,2004,0
Isodrin,2005,0
Isodrin,2006,0
Isodrin,2007,0
Isodrin,2008,35
Isodrin,2009,54
Isodrin,2010,0
